ID                  DEADLINE    GOLD
YTSH				26/9		50
YTLG				06/10		250
MINISHELL			01/11		1500
EXAM RANK 3			01/11		500
48 LDP BOOK NOTES	05/10		150
NEW BOOK: PDF		20/10		300
APM WORK HOUR		0			15
RUN		10/10		100
